,test_perm,test_pval,test_score,train_score,auc_prob,auc_pred,r2,tn,fp,fn,tp,fold,gen,model,subset
12,0.50014,0.00399,0.54898,0.66643,0.54898,0.53785,-9.4811,1715,1461,39,45,2,combine,bnb,top29
13,0.49958,0.002,0.56278,0.67065,0.56278,0.55542,-9.30109,1751,1425,37,47,2,combine,bnb,top29
14,0.50068,0.002,0.55298,0.65426,0.55298,0.54008,-9.10303,1767,1409,40,44,2,combine,bnb,top29
15,0.50094,0.002,0.58755,0.66837,0.58755,0.56377,-8.98183,1804,1372,37,47,2,combine,bnb,top29
16,0.49952,0.08184,0.52337,0.65729,0.52337,0.50796,-9.33729,1752,1424,45,39,2,combine,bnb,top29
17,0.49929,0.002,0.5493,0.67321,0.5493,0.5084,-9.38009,1717,1459,44,40,2,combine,bnb,top29
18,0.49972,0.002,0.55536,0.68622,0.55536,0.53083,-9.44539,1746,1430,41,43,2,combine,bnb,top29
19,0.50073,0.002,0.55576,0.6762,0.55576,0.54213,-9.29699,1780,1396,40,44,2,combine,bnb,top29
0,0.49962,0.74451,0.48811,0.62473,0.48811,0.4727,-8.52807,2133,1043,61,23,4,m,knn,top29
1,0.50019,0.13373,0.5168,0.66163,0.5168,0.53081,-8.55391,2124,1052,51,33,4,m,knn,top29
2,0.49885,0.002,0.57811,0.6128,0.57811,0.57541,-8.74442,2067,1109,42,42,4,m,knn,top29
3,0.50009,0.26148,0.51069,0.62941,0.51069,0.50618,-8.5935,2081,1095,54,30,4,m,knn,top29
4,0.49998,0.00399,0.54438,0.60829,0.54438,0.53213,-8.28493,2208,968,53,31,4,m,knn,top29
5,0.50107,0.01198,0.53682,0.65893,0.53682,0.53009,-8.86805,2006,1170,48,36,4,m,knn,top29
6,0.49954,0.002,0.55166,0.65311,0.55166,0.5128,-8.32846,2123,1053,54,30,4,m,knn,top29
7,0.50019,0.03792,0.52708,0.61549,0.52708,0.52158,-8.39252,2141,1035,53,31,4,m,knn,top29
8,0.50048,0.11377,0.52143,0.6485,0.52143,0.50776,-8.65616,2091,1085,54,30,4,m,knn,top29
9,0.49955,0.22355,0.5107,0.6573,0.5107,0.50382,-8.1741,2255,921,59,25,4,m,knn,top29
10,0.49924,0.2475,0.50891,0.61358,0.50891,0.51819,-8.97555,2006,1170,50,34,4,m,knn,top29
11,0.501,0.01796,0.53589,0.65271,0.53589,0.53711,-8.35608,2164,1012,51,33,4,m,knn,top29
12,0.49923,0.07186,0.52308,0.62923,0.52308,0.53903,-8.35146,2214,962,52,32,4,m,knn,top29
13,0.5002,0.78643,0.48679,0.6396,0.48679,0.50427,-9.61253,1842,1334,48,36,4,m,knn,top29
14,0.49877,0.96208,0.47067,0.61579,0.47067,0.48704,-8.80332,2035,1141,56,28,4,m,knn,top29
15,0.49939,0.002,0.55312,0.64135,0.55312,0.51831,-9.10276,1969,1207,49,35,4,m,knn,top29
16,0.50013,0.87824,0.48099,0.58993,0.48099,0.49154,-8.9853,1988,1188,54,30,4,m,knn,top29
17,0.49776,0.002,0.56426,0.64732,0.56426,0.54398,-9.06698,1943,1233,44,40,4,m,knn,top29
18,0.49898,0.23752,0.51008,0.67095,0.51008,0.49708,-8.78673,2061,1115,55,29,4,m,knn,top29
19,0.49959,0.08982,0.52556,0.63029,0.52556,0.51119,-8.69914,2075,1101,53,31,4,m,knn,top29
0,0.49944,0.22355,0.51176,0.6147,0.51176,0.49355,-6.44311,2447,730,65,18,0,f,knn,top29
1,0.5007,0.1497,0.5162,0.60982,0.5162,0.50067,-6.92866,2454,723,64,19,0,f,knn,top29
2,0.50131,0.11776,0.52068,0.61654,0.52068,0.49063,-6.37073,2505,672,67,16,0,f,knn,top29
3,0.49997,0.01198,0.53896,0.635,0.53896,0.51663,-7.20045,2364,813,59,24,0,f,knn,top29
4,0.49998,0.30339,0.50857,0.62927,0.50857,0.51631,-6.9416,2362,815,59,24,0,f,knn,top29
5,0.50071,0.34331,0.50795,0.639,0.50795,0.50103,-6.76176,2418,759,63,20,0,f,knn,top29
6,0.49964,0.2495,0.50998,0.63342,0.50998,0.51,-6.3062,2475,702,63,20,0,f,knn,top29
7,0.49872,0.33134,0.50577,0.60852,0.50577,0.50243,-5.62292,2580,597,67,16,0,f,knn,top29
8,0.50023,0.002,0.55021,0.61389,0.55021,0.54726,-7.4969,2329,848,53,30,0,f,knn,top29
9,0.50078,0.51896,0.4993,0.59262,0.4993,0.48289,-6.91279,2341,836,64,19,0,f,knn,top29
10,0.49972,0.09581,0.51965,0.61937,0.51965,0.50353,-5.84091,2587,590,67,16,0,f,knn,top29
11,0.49971,0.09182,0.52208,0.61539,0.52208,0.49808,-7.19977,2361,816,62,21,0,f,knn,top29
12,0.49941,0.2515,0.50996,0.65633,0.50996,0.51013,-6.87589,2361,816,60,23,0,f,knn,top29
13,0.50123,0.46906,0.50278,0.62607,0.50278,0.49685,-6.51557,2468,709,65,18,0,f,knn,top29
14,0.50008,0.68463,0.49158,0.61651,0.49158,0.48402,-6.46982,2463,714,67,16,0,f,knn,top29
15,0.50016,0.81038,0.4858,0.62271,0.4858,0.47894,-6.41472,2469,708,68,15,0,f,knn,top29
16,0.50026,0.32735,0.50675,0.66234,0.50675,0.48947,-7.03726,2268,909,61,22,0,f,knn,top29
17,0.49921,0.74251,0.48899,0.58917,0.48899,0.47921,-6.3059,2509,668,69,14,0,f,knn,top29
18,0.49915,0.04192,0.52801,0.58532,0.52801,0.5494,-7.53525,2266,911,51,32,0,f,knn,top29
19,0.49984,0.42515,0.50309,0.60442,0.50309,0.50162,-6.58185,2460,717,64,19,0,f,knn,top29
0,0.49876,0.07186,0.52276,0.57884,0.52276,0.54768,-6.75358,2458,718,57,27,2,f,knn,top29
1,0.4998,0.25549,0.51118,0.60948,0.51118,0.55024,-7.40152,2323,853,53,31,2,f,knn,top29
2,0.49899,0.02395,0.53413,0.59893,0.53413,0.55842,-7.33171,2375,801,53,31,2,f,knn,top29
3,0.49945,0.38124,0.50481,0.59954,0.50481,0.56163,-6.69561,2471,705,55,29,2,f,knn,top29
4,0.50125,0.02395,0.53209,0.5796,0.53209,0.56233,-7.15271,2362,814,52,32,2,f,knn,top29
5,0.49956,0.00399,0.53747,0.5999,0.53747,0.56359,-7.10274,2370,806,52,32,2,f,knn,top29
6,0.49952,0.002,0.55749,0.5937,0.55749,0.57414,-7.52183,2248,928,47,37,2,f,knn,top29
7,0.50015,0.00599,0.54067,0.61238,0.54067,0.57386,-7.22886,2284,892,48,36,2,f,knn,top29
8,0.50018,0.14371,0.51664,0.5856,0.51664,0.55407,-6.45352,2423,753,55,29,2,f,knn,top29
9,0.50032,0.00798,0.53613,0.59083,0.53613,0.56563,-5.98747,2572,604,57,27,2,f,knn,top29
10,0.49963,0.002,0.56835,0.61898,0.56835,0.57417,-7.15373,2286,890,48,36,2,f,knn,top29
11,0.49939,0.13573,0.51701,0.58145,0.51701,0.53835,-5.99913,2550,626,61,23,2,f,knn,top29
12,0.50128,0.1996,0.51368,0.59154,0.51368,0.53865,-7.35211,2325,851,55,29,2,f,knn,top29
13,0.49957,0.05389,0.52455,0.59697,0.52455,0.55826,-6.99363,2374,802,53,31,2,f,knn,top29
14,0.49976,0.002,0.54289,0.59893,0.54289,0.57297,-6.34452,2543,633,55,29,2,f,knn,top29
15,0.50052,0.002,0.55068,0.59888,0.55068,0.54919,-6.82882,2392,784,55,29,2,f,knn,top29
16,0.49976,0.00798,0.53756,0.61339,0.53756,0.56758,-6.53909,2471,705,54,30,2,f,knn,top29
17,0.49909,0.02794,0.53245,0.59726,0.53245,0.5514,-6.77877,2406,770,55,29,2,f,knn,top29
18,0.50093,0.01397,0.53751,0.59748,0.53751,0.56144,-6.88486,2432,744,54,30,2,f,knn,top29
19,0.49965,0.01397,0.53413,0.58242,0.53413,0.55429,-6.21754,2500,676,57,27,2,f,knn,top29
0,0.49949,0.53693,0.49812,0.6663,0.49812,0.48851,-7.21665,2309,867,63,21,3,f,knn,top29
1,0.50083,0.1018,0.52001,0.58195,0.52001,0.51575,-7.28758,2293,883,58,26,3,f,knn,top29
2,0.49971,0.07784,0.5233,0.60462,0.5233,0.48773,-8.22033,2115,1061,58,26,3,f,knn,top29
3,0.4996,0.64471,0.49326,0.6171,0.49326,0.50167,-7.09498,2317,859,61,23,3,f,knn,top29
4,0.49868,0.01397,0.53596,0.6231,0.53596,0.51739,-7.77703,2190,986,55,29,3,f,knn,top29
5,0.50009,0.41317,0.50469,0.5854,0.50469,0.47201,-7.43383,2242,934,64,20,3,f,knn,top29
6,0.50004,0.08982,0.52128,0.61171,0.52128,0.52275,-9.13131,2035,1141,50,34,3,f,knn,top29
7,0.49998,0.94012,0.47686,0.59118,0.47686,0.48798,-7.78624,2230,946,61,23,3,f,knn,top29
