number	auc_prob	auc_pred	fbeta	f1	plr	nlr	perm_score	pval_score	train_score
387	0.55122	0.54020	0.60584	0.60584	1.14721	0.82288	0.50140	1.00000	0.44596
387	0.57655	0.56474	0.75291	0.75291	1.35523	0.79625	0.50233	0.86139	0.48132
387	0.58946	0.60139	0.83501	0.83501	1.83452	0.73212	0.49907	0.97030	0.46384
387	0.55499	0.52394	0.58658	0.58658	1.08452	0.88952	0.50113	0.72277	0.48418
387	0.56160	0.51912	0.51777	0.51777	1.06010	0.89479	0.50118	0.63366	0.49346
387	0.52847	0.51142	0.58538	0.58538	1.04025	0.94718	0.49985	0.09901	0.53166
387	0.52015	0.49129	0.49664	0.49664	0.97346	1.05061	0.50160	0.55446	0.49685
387	0.54110	0.59568	0.83521	0.83521	1.78958	0.74741	0.49738	0.27723	0.50964
387	0.48485	0.49800	0.57106	0.57106	0.99314	1.00957	0.49600	0.25743	0.51141
387	0.50754	0.46724	0.68472	0.68472	0.85476	1.11934	0.50278	0.46535	0.50657
