number	auc_prob	auc_pred	fbeta	f1	plr	nlr	perm_score	pval_score	train_score
330	0.53381	0.50514	0.64906	0.64906	1.02072	0.97963	0.49381	0.25743	0.51394
330	0.53381	0.50514	0.64906	0.64906	1.02072	0.97963	0.49381	0.25743	0.51394
330	0.53381	0.50514	0.64906	0.64906	1.02072	0.97963	0.49381	0.25743	0.51394
330	0.53381	0.50514	0.64906	0.64906	1.02072	0.97963	0.49381	0.25743	0.51394
330	0.53381	0.50514	0.64906	0.64906	1.02072	0.97963	0.49381	0.25743	0.51394
330	0.53381	0.50514	0.64906	0.64906	1.02072	0.97963	0.49381	0.25743	0.51394
330	0.53381	0.50514	0.64906	0.64906	1.02072	0.97963	0.49381	0.25743	0.51394
330	0.53381	0.50514	0.64906	0.64906	1.02072	0.97963	0.49381	0.25743	0.51394
330	0.53381	0.50514	0.64906	0.64906	1.02072	0.97963	0.49381	0.25743	0.51394
330	0.53381	0.50514	0.64906	0.64906	1.02072	0.97963	0.49381	0.25743	0.51394
