number	auc_prob	auc_pred	fbeta	f1	plr	nlr	perm_score	pval_score	train_score
468	0.53169	0.51159	0.66007	0.66007	1.04800	0.95518	0.49636	0.56436	0.49164
468	0.53169	0.51159	0.66007	0.66007	1.04800	0.95518	0.49636	0.56436	0.49164
468	0.53169	0.51159	0.66007	0.66007	1.04800	0.95518	0.49636	0.56436	0.49164
468	0.53169	0.51159	0.66007	0.66007	1.04800	0.95518	0.49636	0.56436	0.49164
468	0.53169	0.51159	0.66007	0.66007	1.04800	0.95518	0.49636	0.56436	0.49164
468	0.53169	0.51159	0.66007	0.66007	1.04800	0.95518	0.49636	0.56436	0.49164
468	0.53169	0.51159	0.66007	0.66007	1.04800	0.95518	0.49636	0.56436	0.49164
468	0.53169	0.51159	0.66007	0.66007	1.04800	0.95518	0.49636	0.56436	0.49164
468	0.53169	0.51159	0.66007	0.66007	1.04800	0.95518	0.49636	0.56436	0.49164
468	0.53169	0.51159	0.66007	0.66007	1.04800	0.95518	0.49636	0.56436	0.49164
