number	auc_prob	auc_pred	fbeta	f1	plr	nlr	perm_score	pval_score	train_score
403	0.46187	0.52739	0.63620	0.63620	1.10709	0.88787	0.49657	0.34653	0.51149
403	0.46355	0.52739	0.63620	0.63620	1.10709	0.88787	0.49657	0.34653	0.51149
403	0.49984	0.52739	0.63620	0.63620	1.10709	0.88787	0.49657	0.34653	0.51149
403	0.53262	0.52739	0.63620	0.63620	1.10709	0.88787	0.49657	0.34653	0.51149
403	0.45966	0.52739	0.63620	0.63620	1.10709	0.88787	0.49657	0.34653	0.51149
403	0.48424	0.52739	0.63620	0.63620	1.10709	0.88787	0.49657	0.34653	0.51149
403	0.45952	0.52739	0.63620	0.63620	1.10709	0.88787	0.49657	0.34653	0.51149
403	0.53854	0.52739	0.63620	0.63620	1.10709	0.88787	0.49657	0.34653	0.51149
403	0.46157	0.52739	0.63620	0.63620	1.10709	0.88787	0.49657	0.34653	0.51149
403	0.49414	0.52739	0.63620	0.63620	1.10709	0.88787	0.49657	0.34653	0.51149
