number	auc_prob	auc_pred	fbeta	f1	plr	nlr	perm_score	pval_score	train_score
473	0.47950	0.49558	0.68664	0.68664	0.98035	1.01604	0.50106	0.04950	0.54453
473	0.47950	0.49558	0.68664	0.68664	0.98035	1.01604	0.50106	0.04950	0.54453
473	0.47950	0.49558	0.68664	0.68664	0.98035	1.01604	0.50106	0.04950	0.54453
473	0.47950	0.49558	0.68664	0.68664	0.98035	1.01604	0.50106	0.04950	0.54453
473	0.47950	0.49558	0.68664	0.68664	0.98035	1.01604	0.50106	0.04950	0.54453
473	0.47950	0.49558	0.68664	0.68664	0.98035	1.01604	0.50106	0.04950	0.54453
473	0.47950	0.49558	0.68664	0.68664	0.98035	1.01604	0.50106	0.04950	0.54453
473	0.47950	0.49558	0.68664	0.68664	0.98035	1.01604	0.50106	0.04950	0.54453
473	0.47950	0.49558	0.68664	0.68664	0.98035	1.01604	0.50106	0.04950	0.54453
473	0.47950	0.49558	0.68664	0.68664	0.98035	1.01604	0.50106	0.04950	0.54453
