number	auc_prob	auc_pred	fbeta	f1	plr	nlr	perm_score	pval_score	train_score
230	0.51753	0.50567	0.65480	0.65480	1.02320	0.97783	0.50184	0.48515	0.50679
230	0.49854	0.50567	0.65480	0.65480	1.02320	0.97783	0.50184	0.48515	0.50679
230	0.52635	0.50567	0.65480	0.65480	1.02320	0.97783	0.50184	0.48515	0.50679
230	0.53029	0.50567	0.65480	0.65480	1.02320	0.97783	0.50184	0.48515	0.50679
230	0.52365	0.50567	0.65480	0.65480	1.02320	0.97783	0.50184	0.48515	0.50679
230	0.51275	0.50567	0.65480	0.65480	1.02320	0.97783	0.50184	0.48515	0.50679
230	0.48755	0.50567	0.65480	0.65480	1.02320	0.97783	0.50184	0.48515	0.50679
230	0.52450	0.50567	0.65480	0.65480	1.02320	0.97783	0.50184	0.48515	0.50679
230	0.47160	0.50567	0.65480	0.65480	1.02320	0.97783	0.50184	0.48515	0.50679
230	0.52641	0.50567	0.65480	0.65480	1.02320	0.97783	0.50184	0.48515	0.50679
