	number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
0	316	0.49577	0.67327	0.55476	0.4838	0.55476	0.53914	-8.30911	1760	1415	39	44
1	316	0.49619	0.66337	0.55639	0.48554	0.55639	0.53852	-8.35925	1568	1607	35	48
2	316	0.49625	0.67327	0.55438	0.4863	0.55438	0.54805	-8.31361	1742	1433	38	45
3	316	0.49631	0.67327	0.55682	0.4867	0.55682	0.53401	-8.34679	1614	1561	36	47
4	316	0.49587	0.64356	0.55263	0.4871	0.55263	0.52431	-8.34336	1628	1547	38	45
5	316	0.49572	0.66337	0.56169	0.48412	0.56169	0.54616	-8.31669	1729	1446	38	45
6	316	0.49616	0.67327	0.55902	0.4855	0.55902	0.5417	-8.34367	1626	1549	36	47
7	316	0.49612	0.68317	0.56204	0.48389	0.56204	0.55114	-8.32777	1685	1490	35	48
8	316	0.49611	0.65347	0.54681	0.48808	0.54681	0.54708	-8.3248	1697	1478	36	47
9	316	0.49572	0.64356	0.55812	0.48732	0.55812	0.53706	-8.32202	1709	1466	38	45
