	number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
0	365	0.50659	0.18812	0.57044	0.53651	0.57044	0.5	-8.99871	0	3176	0	84
1	365	0.50691	0.12871	0.57101	0.5395	0.57101	0.5	-8.99871	0	3176	0	84
2	365	0.50681	0.12871	0.57175	0.54208	0.57175	0.5	-8.03848	3176	0	84	0
3	365	0.50625	0.21782	0.56927	0.53219	0.56927	0.5	-8.99871	0	3176	0	84
4	365	0.50671	0.16832	0.57002	0.53718	0.57002	0.5	-8.99871	0	3176	0	84
5	365	0.50718	0.15842	0.57596	0.53923	0.57596	0.5	-8.99871	0	3176	0	84
6	365	0.50683	0.15842	0.56689	0.53745	0.56689	0.5	-8.03848	3176	0	84	0
7	365	0.50714	0.10891	0.56791	0.5444	0.56791	0.5	-8.99871	0	3176	0	84
8	365	0.50716	0.22772	0.56733	0.53201	0.56733	0.5	-8.03848	3176	0	84	0
9	365	0.50756	0.09901	0.56873	0.54694	0.56873	0.5	-8.03848	3176	0	84	0
