number	auc_prob	auc_pred	fbeta	f1	plr	nlr	perm_score	pval_score	train_score
181	0.57897	0.57023	0.66499	0.66499	1.29348	0.73062	0.49804	0.47525	0.49909
181	0.57897	0.57023	0.66499	0.66499	1.29348	0.73062	0.49804	0.47525	0.49909
181	0.57897	0.57023	0.66499	0.66499	1.29348	0.73062	0.49804	0.47525	0.49909
181	0.57897	0.57023	0.66499	0.66499	1.29348	0.73062	0.49804	0.47525	0.49909
181	0.57897	0.57023	0.66499	0.66499	1.29348	0.73062	0.49804	0.47525	0.49909
181	0.57897	0.57023	0.66499	0.66499	1.29348	0.73062	0.49804	0.47525	0.49909
181	0.57897	0.57023	0.66499	0.66499	1.29348	0.73062	0.49804	0.47525	0.49909
181	0.57897	0.57023	0.66499	0.66499	1.29348	0.73062	0.49804	0.47525	0.49909
181	0.57897	0.57023	0.66499	0.66499	1.29348	0.73062	0.49804	0.47525	0.49909
181	0.57897	0.57023	0.66499	0.66499	1.29348	0.73062	0.49804	0.47525	0.49909
