number	auc_prob	auc_pred	fbeta	f1	plr	nlr	perm_score	pval_score	train_score
87	0.52116	0.52538	0.82972	0.82972	1.20566	0.93259	0.49619	0.51485	0.49597
87	0.52116	0.52538	0.82972	0.82972	1.20566	0.93259	0.49619	0.51485	0.49597
87	0.52116	0.52538	0.82972	0.82972	1.20566	0.93259	0.49619	0.51485	0.49597
87	0.52116	0.52538	0.82972	0.82972	1.20566	0.93259	0.49619	0.51485	0.49597
87	0.52116	0.52538	0.82972	0.82972	1.20566	0.93259	0.49619	0.51485	0.49597
87	0.52116	0.52538	0.82972	0.82972	1.20566	0.93259	0.49619	0.51485	0.49597
87	0.52116	0.52538	0.82972	0.82972	1.20566	0.93259	0.49619	0.51485	0.49597
87	0.52116	0.52538	0.82972	0.82972	1.20566	0.93259	0.49619	0.51485	0.49597
87	0.52116	0.52538	0.82972	0.82972	1.20566	0.93259	0.49619	0.51485	0.49597
87	0.52116	0.52538	0.82972	0.82972	1.20566	0.93259	0.49619	0.51485	0.49597
