number	auc_prob	auc_pred	fbeta	f1	plr	nlr	perm_score	pval_score	train_score
32	0.50472	0.50910	0.65066	0.65066	1.03687	0.96405	0.50071	0.97030	0.44585
32	0.50472	0.50910	0.65066	0.65066	1.03687	0.96405	0.50071	0.97030	0.44585
32	0.50472	0.50910	0.65066	0.65066	1.03687	0.96405	0.50071	0.97030	0.44585
32	0.50472	0.50910	0.65066	0.65066	1.03687	0.96405	0.50071	0.97030	0.44585
32	0.50472	0.50910	0.65066	0.65066	1.03687	0.96405	0.50071	0.97030	0.44585
32	0.50472	0.50910	0.65066	0.65066	1.03687	0.96405	0.50071	0.97030	0.44585
32	0.50472	0.50910	0.65066	0.65066	1.03687	0.96405	0.50071	0.97030	0.44585
32	0.50472	0.50910	0.65066	0.65066	1.03687	0.96405	0.50071	0.97030	0.44585
32	0.50472	0.50910	0.65066	0.65066	1.03687	0.96405	0.50071	0.97030	0.44585
32	0.50472	0.50910	0.65066	0.65066	1.03687	0.96405	0.50071	0.97030	0.44585
