number	auc_prob	auc_pred	fbeta	f1	plr	nlr	perm_score	pval_score	train_score
3	0.54728	0.54377	0.66970	0.66970	1.18549	0.83420	0.49983	0.27723	0.51731
3	0.54728	0.54377	0.66970	0.66970	1.18549	0.83420	0.49983	0.27723	0.51731
3	0.54728	0.54377	0.66970	0.66970	1.18549	0.83420	0.49983	0.27723	0.51731
3	0.54728	0.54377	0.66970	0.66970	1.18549	0.83420	0.49983	0.27723	0.51731
3	0.54728	0.54377	0.66970	0.66970	1.18549	0.83420	0.49983	0.27723	0.51731
3	0.54728	0.54377	0.66970	0.66970	1.18549	0.83420	0.49983	0.27723	0.51731
3	0.54728	0.54377	0.66970	0.66970	1.18549	0.83420	0.49983	0.27723	0.51731
3	0.54728	0.54377	0.66970	0.66970	1.18549	0.83420	0.49983	0.27723	0.51731
3	0.54728	0.54377	0.66970	0.66970	1.18549	0.83420	0.49983	0.27723	0.51731
3	0.54728	0.54377	0.66970	0.66970	1.18549	0.83420	0.49983	0.27723	0.51731
