number	auc_prob	auc_pred	fbeta	f1	plr	nlr	perm_score	pval_score	train_score
455	0.52670	0.53717	0.79958	0.79958	1.25224	0.89460	0.50340	0.40594	0.50626
455	0.52670	0.53717	0.79958	0.79958	1.25224	0.89460	0.50340	0.40594	0.50626
455	0.52670	0.53717	0.79958	0.79958	1.25224	0.89460	0.50340	0.40594	0.50626
455	0.52670	0.53717	0.79958	0.79958	1.25224	0.89460	0.50340	0.40594	0.50626
455	0.52670	0.53717	0.79958	0.79958	1.25224	0.89460	0.50340	0.40594	0.50626
455	0.52670	0.53717	0.79958	0.79958	1.25224	0.89460	0.50340	0.40594	0.50626
455	0.52670	0.53717	0.79958	0.79958	1.25224	0.89460	0.50340	0.40594	0.50626
455	0.52670	0.53717	0.79958	0.79958	1.25224	0.89460	0.50340	0.40594	0.50626
455	0.52670	0.53717	0.79958	0.79958	1.25224	0.89460	0.50340	0.40594	0.50626
455	0.52670	0.53717	0.79958	0.79958	1.25224	0.89460	0.50340	0.40594	0.50626
