number	auc_prob	auc_pred	fbeta	f1	plr	nlr	perm_score	pval_score	train_score
254	0.51086	0.52386	0.71296	0.71296	1.11457	0.91820	0.49533	0.73267	0.48282
254	0.51086	0.52386	0.71296	0.71296	1.11457	0.91820	0.49533	0.73267	0.48282
254	0.51086	0.52386	0.71296	0.71296	1.11457	0.91820	0.49533	0.73267	0.48282
254	0.51086	0.52386	0.71296	0.71296	1.11457	0.91820	0.49533	0.73267	0.48282
254	0.51086	0.52386	0.71296	0.71296	1.11457	0.91820	0.49533	0.73267	0.48282
254	0.51086	0.52386	0.71296	0.71296	1.11457	0.91820	0.49533	0.73267	0.48282
254	0.51086	0.52386	0.71296	0.71296	1.11457	0.91820	0.49533	0.73267	0.48282
254	0.51086	0.52386	0.71296	0.71296	1.11457	0.91820	0.49533	0.73267	0.48282
254	0.51086	0.52386	0.71296	0.71296	1.11457	0.91820	0.49533	0.73267	0.48282
254	0.51086	0.52386	0.71296	0.71296	1.11457	0.91820	0.49533	0.73267	0.48282
